SUBE_KODU;SUBE_KODU_org;SUBE_ADI;BOLGE;IL_KODU;IL_ADI;SUBE_AKTIF_KOD;ILCE_KODU;ILCE_ISMI;SUBE_ADRES;KAPANIS_TARIHI;ACILIS_TAR
1280;1375;CİZRE;GÜNEYDOĞU ANADOLU   ;73;ŞIRNAK                                            ;A;7305;CİZRE;Şah Mah. Dr.Mesut Tüzün Caddesi Nimet Apt. No:8A Cizre/Şırnak;NULL;2013-01-15 00:00:00.000
1285;1740;BİSMİL;GÜNEYDOĞU ANADOLU   ;21;DİYARBAKIR                                        ;A;2101;BİSMİL;Kurtuluş Mahallesi Özgürlük Bulvarı No:91/A Bismil/Diyarbakır;NULL;2009-11-16 00:00:00.000
1290;1090;MEZİTLİ;ÇUKUROVA            ;33;İÇEL                                              ;A;3311;MEZİTLİ;Yeni Mahallesi Gazi Mustafa Kemal Bulvarı No:722B Mezitli/Mersin;NULL;2008-07-21 00:00:00.000
1295;1295;YILDIZTEPE;AVRUPA-3            ;34;İSTANBUL                                          ;P;3427;BAĞCILAR;Yenigün Mah. Bağcılar Cad. No:115/A Bağcılar / İstanbul;18.12.2017 00:00;2013-01-11 00:00:00.000
1300;2510;BATMAN;GÜNEYDOĞU ANADOLU   ;72;BATMAN                                            ;A;7200;BATMAN;Meydan Mahallesi Atatürk Bulvarı Şah Plaza Blok No:7/A Merkez/Batman;NULL;2002-11-04 00:00:00.000
1305;1305;SULTANBEYLİ TEM TİCARİ MERKEZ;İSTANBUL ANADOLU-2  ;34;İSTANBUL                                          ;P;3431;SULTANBEYLİ;Mehmet Akif Mah. Atatürk Cad. No:98 Sultanbeyli/İstanbul;14.08.2015 00:00;2013-01-11 00:00:00.000
1310;2035;BODRUM BÜYÜK İŞLETMELER;AKDENİZ             ;48;MUĞLA                                             ;A;4801;BODRUM;Dirmil Mah. İnönü Cad. No:128 A İç Kapı No:3 Bodrum/Muğla;NULL;2013-11-26 00:00:00.000
1315;1315;TRAKYA TİCARİ MERKEZ;TRAKYA              ;34;İSTANBUL                                          ;P;3436;ESENYURT;Akçaburgaz Mah. Hadımköy Yolu Cad. No:186/A K:1 Esenyurt/İstanbul;13.07.2017 00:00;2012-11-26 00:00:00.000
1320;9180;GÜNEŞLİ;AVRUPA-2            ;34;İSTANBUL                                          ;A;3427;BAĞCILAR;Bağlar Mahallesi Atatürk Caddesi No:12 A Bağcılar/İstanbul;NULL;1997-11-24 00:00:00.000
1325;3675;ALANYA BÜYÜK İŞLETMELER;AKDENİZ             ;7;ANTALYA                                           ;A;702;ALANYA;Saray Mahallesi Atatürk Bulvarı No:89A Alanya/Antalya;NULL;2022-01-24 00:00:00.000
1330;3470;SİLİFKE;ÇUKUROVA            ;33;İÇEL                                              ;A;3305;SİLİFKE;Mukaddem Mah. İnönü Bulv. Denizbank No:83 Silifke/Mersin;NULL;2005-12-19 00:00:00.000
1335;1340;İPSALA;TRAKYA              ;22;EDİRNE                                            ;A;2203;İPSALA;Bayrambey Mah. Enez Cad. No:25 İpsala / Edirne;NULL;2008-12-22 00:00:00.000
1340;1610;VEZİRKÖPRÜ;KARADENİZ           ;55;SAMSUN                                            ;A;5508;VEZİRKÖPRÜ;Fazıl Ahmet Paşa Mah. Fazıl Mustafa Paşa Cad. No:63 Vezirköprü / Samsun;NULL;2009-09-17 00:00:00.000
1345;5370;KONAKLI;AKDENİZ             ;7;ANTALYA                                           ;A;702;ALANYA;Telatiye Mahallesi İstiklal Caddesi No:13  Konaklı-Alanya/Antalya;NULL;2010-11-25 00:00:00.000
1350;1360;TERME;KARADENİZ           ;55;SAMSUN                                            ;A;5507;TERME;Fenk Mah. Atatürk Cad. No:7 Terme / Samsun;NULL;2008-12-23 00:00:00.000
